arch_id,layer_num,layer_type,units,activation,dropout_rate,reward,accuracy,complexity,complexity_epochs,completed,termination_reason
4566,1,dense,16.0,sigmoid,,76.84435079993492,71.05558514595032,99.54878144095794,87.0,True,stop
4566,2,dense,16.0,sigmoid,,76.84435079993492,71.05558514595032,99.54878144095794,87.0,True,stop
4566,3,dense,16.0,sigmoid,,76.84435079993492,71.05558514595032,99.54878144095794,87.0,True,stop
4566,4,dense,512.0,sigmoid,,76.84435079993492,71.05558514595032,99.54878144095794,87.0,True,stop
4567,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4567,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4567,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4567,4,dense,512.0,sigmoid,,0.0,,,,False,incomplete
4568,1,dense,16.0,sigmoid,,76.26516096229707,70.33146619796753,99.93335512808338,91.0,True,stop
4568,2,dense,16.0,sigmoid,,76.26516096229707,70.33146619796753,99.93335512808338,91.0,True,stop
4568,3,dense,16.0,sigmoid,,76.26516096229707,70.33146619796753,99.93335512808338,91.0,True,stop
4568,4,dense,16.0,sigmoid,,76.26516096229707,70.33146619796753,99.93335512808338,91.0,True,stop
4568,5,dense,16.0,sigmoid,,76.26516096229707,70.33146619796753,99.93335512808338,91.0,True,stop
4569,1,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4569,2,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4569,3,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4569,4,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4569,5,dense,16.0,sigmoid,,0.0,,,,False,incomplete
4570,1,dense,16.0,sigmoid,,76.60783065575768,70.75981497764587,99.93335512808338,84.0,True,stop
4570,2,dense,16.0,sigmoid,,76.60783065575768,70.75981497764587,99.93335512808338,84.0,True,stop
4570,3,dense,16.0,sigmoid,,76.60783065575768,70.75981497764587,99.93335512808338,84.0,True,stop
